"TIME","GEO","INDIC_ED","UNIT","Value","Flag and Footnotes"
"2000","Belgium","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","3,106.4","i"
"2000","Bulgaria","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","1,715.8",""
"2000","Bulgaria","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","329.1",""
"2000","Bulgaria","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","728.8",""
"2000","Bulgaria","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","374.3",""
"2000","Czech Republic","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","5,313.1",""
"2000","Czech Republic","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","966.4",""
"2000","Czech Republic","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,667.1",""
"2000","Czech Republic","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,008.3",""
"2000","Denmark","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","11,216.0","d"
"2000","Denmark","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,327.0",""
"2000","Denmark","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","4,067.2","d"
"2000","Denmark","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","3,321.2",""
"2000","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","82,385.0",""
"2000","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","12,663.1",""
"2000","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","42,271.0",""
"2000","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","19,973.6",""
"2000","Estonia","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","710.9","i"
"2000","Estonia","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","204.2",""
"2000","Estonia","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","271.6",""
"2000","Estonia","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","120.8",""
"2000","Ireland","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","4,134.0",""
"2000","Ireland","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","1,249.1",""
"2000","Ireland","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","1,520.6",""
"2000","Ireland","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,226.1",""
"2000","Greece","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","5,923.4","i"
"2000","Greece","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","1,789.7","i"
"2000","Greece","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,474.8","i"
"2000","Greece","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,424.1","i"
"2000","Spain","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","31,971.0",""
"2000","Spain","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","8,239.5",""
"2000","Spain","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","13,957.6",""
"2000","Spain","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","6,952.2",""
"2000","France","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","80,438.2",""
"2000","France","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","16,358.9",""
"2000","France","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","38,985.5",""
"2000","France","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","16,254.2",""
"2000","Croatia","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":",""
"2000","Croatia","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":",""
"2000","Croatia","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":",""
"2000","Croatia","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":",""
"2000","Italy","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","57,615.3",""
"2000","Italy","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","13,316.6",""
"2000","Italy","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","26,620.5",""
"2000","Italy","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","10,266.7",""
"2000","Cyprus","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","627.3","i"
"2000","Cyprus","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","172.9","i"
"2000","Cyprus","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","315.5","i"
"2000","Cyprus","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","107.5","i"
"2000","Latvia","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","904.0",""
"2000","Latvia","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","337.3",""
"2000","Latvia","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","829.6",""
"2000","Latvia","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","267.0",""
"2000","Lithuania","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","1,547.3",""
"2000","Lithuania","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","i"
"2000","Lithuania","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","923.5","i"
"2000","Lithuania","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","254.0",""
"2000","Luxembourg","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":",""
"2000","Luxembourg","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":",""
"2000","Luxembourg","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":",""
"2000","Luxembourg","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":",""
"2000","Hungary","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","4,896.0",""
"2000","Hungary","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","891.9",""
"2000","Hungary","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,049.6",""
"2000","Hungary","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,015.4",""
"2000","Malta","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","275.0",""
"2000","Malta","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","74.1",""
"2000","Malta","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","135.2",""
"2000","Malta","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","49.9",""
"2000","Netherlands","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","20,288.1",""
"2000","Netherlands","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","5,047.1",""
"2000","Netherlands","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","8,164.3",""
"2000","Netherlands","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","5,646.3",""
"2000","Austria","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","11,457.0",""
"2000","Austria","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,261.1",""
"2000","Austria","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","5,572.9",""
"2000","Austria","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","2,577.3",""
"2000","Poland","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","17,517.0","i"
"2000","Poland","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","8,490.6","i"
"2000","Poland","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","4,346.0","i"
"2000","Poland","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","2,545.5",""
"2000","Portugal","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","8,965.0","d"
"2000","Portugal","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,467.3","d"
"2000","Portugal","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","3,540.7","d"
"2000","Portugal","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,493.3","d"
"2000","Romania","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","3,242.0",""
"2000","Romania","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","1,170.2","i"
"2000","Romania","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","740.3","i"
"2000","Romania","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","446.3",""
"2000","Slovenia","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":",""
"2000","Slovenia","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":",""
"2000","Slovenia","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":",""
"2000","Slovenia","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":",""
"2000","Slovakia","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","2,121.0","d"
"2000","Slovakia","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","316.0",""
"2000","Slovakia","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","1,030.8","d"
"2000","Slovakia","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","371.1","d"
"2000","Finland","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","6,806.3",""
"2000","Finland","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","1,456.5",""
"2000","Finland","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,639.5",""
"2000","Finland","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","2,316.3",""
"2000","Sweden","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","15,445.1",""
"2000","Sweden","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","4,308.3",""
"2000","Sweden","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","5,925.7",""
"2000","Sweden","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","4,198.5",""
"2000","United Kingdom","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","58,270.0",""
"2000","United Kingdom","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","14,158.6",""
"2000","United Kingdom","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","27,922.2",""
"2000","United Kingdom","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","10,050.0",""
"2000","Iceland","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","420.0","d"
"2000","Iceland","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","157.2",""
"2000","Iceland","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","159.8","d"
"2000","Iceland","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","72.9","d"
"2000","Liechtenstein","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":",""
"2000","Liechtenstein","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":",""
"2000","Liechtenstein","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":",""
"2000","Liechtenstein","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":",""
"2000","Norway","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","9,512.9","i"
"2000","Norway","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","3,470.3","i"
"2000","Norway","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","1,914.2","i"
"2000","Norway","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","2,357.9",""
"2000","Switzerland","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","10,279.8",""
"2000","Switzerland","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,927.2",""
"2000","Switzerland","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","4,395.5",""
"2000","Switzerland","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","2,331.9",""
"2000","Former Yugoslav Republic of Macedonia, the","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":",""
"2000","Former Yugoslav Republic of Macedonia, the","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":",""
"2000","Turkey","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","14,088.0","i"
"2000","Turkey","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","6,508.8","i"
"2000","Turkey","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,657.6","i"
"2000","Turkey","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","4,101.1","i"
"2000","United States","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","415,088.0",""
"2000","United States","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","136,337.8",""
"2000","United States","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","155,270.5","i"
"2000","United States","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","95,788.0","i"
"2000","Japan","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","103,735.0",""
"2000","Japan","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","35,947.9",""
"2000","Japan","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","41,007.1","i"
"2000","Japan","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","15,556.6","i"
"2001","European Union (28 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","475,592.0","e"
"2001","European Union (28 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","110,235.5","e"
"2001","European Union (28 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","216,587.5","e"
"2001","European Union (28 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","102,667.9","e"
"2001","European Union (27 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","475,592.0","e"
"2001","European Union (27 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","110,235.5","e"
"2001","European Union (27 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","216,587.5","e"
"2001","European Union (27 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","102,667.9","e"
"2001","European Union (25 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards",":","u"
"2001","European Union (25 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards",":","u"
"2001","European Union (25 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards",":","u"
"2001","European Union (25 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards",":","u"
"2001","Euro area (18 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","348,574.4","e"
"2001","Euro area (18 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","74,567.1","e"
"2001","Euro area (18 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","164,270.2","e"
"2001","Euro area (18 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","76,244.3","e"
"2001","Euro area (17 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","347,290.0","e"
"2001","Euro area (17 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","74,318.0","e"
"2001","Euro area (17 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","163,594.2","e"
"2001","Euro area (17 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","76,040.6","e"
"2001","Euro area (15 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","344,410.7","e"
"2001","Euro area (15 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","73,793.6","e"
"2001","Euro area (15 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","162,163.1","e"
"2001","Euro area (15 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","75,455.9","e"
"2001","Euro area (13 countries)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","343,394.8","e"
"2001","Euro area (13 countries)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","73,508.2","e"
"2001","Euro area (13 countries)","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","161,687.2","e"
"2001","Euro area (13 countries)","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","75,259.2","e"
"2001","Belgium","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","15,086.1","i"
"2001","Belgium","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","3,403.1","i"
"2001","Belgium","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","6,547.2","i"
"2001","Belgium","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","3,380.7","i"
"2001","Bulgaria","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","1,723.7",""
"2001","Bulgaria","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","333.6",""
"2001","Bulgaria","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","723.4",""
"2001","Bulgaria","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","376.2",""
"2001","Czech Republic","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","5,810.2",""
"2001","Czech Republic","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","974.4",""
"2001","Czech Republic","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","2,964.3",""
"2001","Czech Republic","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","1,123.5",""
"2001","Denmark","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","11,402.0","d"
"2001","Denmark","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","2,543.4",""
"2001","Denmark","Total public expenditure on education in millions PPS, at secondary level of education (ISCED 2-4)","Current prices, million purchasing power standards","3,874.6","d"
"2001","Denmark","Total public expenditure on education in millions PPS, at tertiary level of education (ISCED 5-6)","Current prices, million purchasing power standards","3,659.4",""
"2001","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, for all levels of education combined","Current prices, million purchasing power standards","85,140.2",""
"2001","Germany (until 1990 former territory of the FRG)","Total public expenditure on education in millions PPS, at primary level of education (ISCED 1)","Current prices, million purchasing power standards","12,870.3",""
